1. New England Patriots,"Home: Buffalo Bills, Miami Dolphins, New York Jets, Green Bay Packers, Houston Texans, Indianapolis Colts, Kansas City Chiefs, Minnesota Vikings","Away: Buffalo Bills, Miami Dolphins, New York Jets, Chicago Bears, Detroit Lions, Jacksonville Jaguars, Pittsburgh Steelers, Tennessee Titans"
2. Buffalo Bills,"Home: Miami Dolphins, New England Patriots, New York Jets, Chicago Bears, Detroit Lions, Jacksonville Jaguars, Los Angeles Chargers, Tennessee Titans","Away: Miami Dolphins, New England Patriots, New York Jets, Baltimore Ravens, Green Bay Packers, Houston Texans, Indianapolis Colts, Minnesota Vikings"
3. Miami Dolphins,"Home: Buffalo Bills, New England Patriots, New York Jets, Chicago Bears, Detroit Lions, Jacksonville Jaguars, Oakland Raiders, Tennessee Titans","Away: Buffalo Bills, New England Patriots, New York Jets, Cincinnati Bengals, Green Bay Packers, Houston Texans, Indianapolis Colts, Minnesota Vikings"
4. New York Jets,"Home: Buffalo Bills, Miami Dolphins, New England Patriots, Denver Broncos, Green Bay Packers, Houston Texans, Indianapolis Colts, Minnesota Vikings","Away: Buffalo Bills, Miami Dolphins, New England Patriots, Chicago Bears, Cleveland Browns, Detroit Lions, Jacksonville Jaguars, Tennessee Titans"
1. Pittsburgh Steelers ,"Home: Baltimore Ravens, Cincinnati Bengals, Cleveland Browns, Atlanta Falcons, Carolina Panthers, Kansas City Chiefs, Los Angeles Chargers, New England Patriots","Away: Baltimore Ravens, Cincinnati Bengals, Cleveland Browns, Denver Broncos, Jacksonville Jaguars, New Orleans Saints, Oakland Raiders, Tampa Bay Buccaneers"
2. Baltimore Ravens,"Home: Cincinnati Bengals, Cleveland Browns, Pittsburgh Steelers, Buffalo Bills, Denver Broncos, New Orleans Saints, Oakland Raiders, Tampa Bay Buccaneers","Away: Cincinnati Bengals, Cleveland Browns, Pittsburgh Steelers, Atlanta Falcons, Carolina Panthers, Kansas City Chiefs, Los Angeles Chargers, Tennessee Titans"
3. Cincinnati Bengals,"Home: Baltimore Ravens, Cleveland Browns, Pittsburgh Steelers, Denver Broncos, Miami Dolphins, New Orleans Saints, Oakland Raiders, Tampa Bay Buccaneers","Away: Baltimore Ravens, Cleveland Browns, Pittsburgh Steelers, Atlanta Falcons, Carolina Panthers, Indianapolis Colts, Kansas City Chiefs, Los Angeles Chargers"
4. Cleveland Browns,"Home: Baltimore Ravens, Cincinnati Bengals, Pittsburgh Steelers, Atlanta Falcons, Carolina Panthers, Kansas City Chiefs, Los Angeles Chargers, New York Jets","Away: Baltimore Ravens, Cincinnati Bengals, Pittsburgh Steelers, Denver Broncos, Houston Texans, New Orleans Saints, Oakland Raiders, Tampa Bay Buccaneers"
1. Jacksonville Jaguars,"Home: Houston Texans, Indianapolis Colts, Tennessee Titans, New England Patriots, New York Jets, Philadelphia Eagles, Pittsburgh Steelers, Washington Redskins","Away: Houston Texans, Indianapolis Colts, Tennessee Titans, Buffalo Bills, Dallas Cowboys, Kansas City Chiefs, Miami Dolphins, New York Giants"
2. Tennessee Titans,"Home: Houston Texans, Indianapolis Colts, Jacksonville Jaguars, Baltimore Ravens, New England Patriots, New York Jets, Philadelphia Eagles, Washington Redskins","Away: Houston Texans, Indianapolis Colts, Jacksonville Jaguars, Buffalo Bills, Dallas Cowboys, Los Angeles Chargers, Miami Dolphins, New York Giants"
3. Indianapolis Colts ,"Home: Houston Texans, Jacksonville Jaguars, Tennessee Titans, Buffalo Bills, Cincinnati Bengals, Dallas Cowboys, Miami Dolphins, New York Giants","Away: Houston Texans, Jacksonville Jaguars, Tennessee Titans, New England Patriots, New York Jets, Oakland Raiders, Philadelphia Eagles, Washington Redskins"
4. Houston Texans,"Home: Indianapolis Colts, Jacksonville Jaguars, Tennessee Titans, Buffalo Bills, Cleveland Browns, Dallas Cowboys, Miami Dolphins, New York Giants","Away: Indianapolis Colts, Jacksonville Jaguars, Tennessee Titans, Denver Broncos, New England Patriots, New York Jets, Philadelphia Eagles, Washington Redskins"
1. Kansas City Chiefs,"Home: Denver Broncos, Los Angeles Chargers, Oakland Raiders, Arizona Cardinals, Baltimore Ravens, Cincinnati Bengals, Jacksonville Jaguars, San Francisco 49ers","Away: Denver Broncos, Los Angeles Chargers, Oakland Raiders, Cleveland Browns, Los Angeles Rams, New England Patriots, Pittsburgh Steelers, Seattle Seahawks"
2. Los Angeles Chargers,"Home: Denver Broncos, Kansas City Chiefs, Oakland Raiders, Arizona Cardinals, Baltimore Ravens, Cincinnati Bengals, San Francisco 49ers, Tennessee Titans","Away: Denver Broncos, Kansas City Chiefs, Oakland Raiders, Buffalo Bills, Cleveland Browns, Los Angeles Rams, Pittsburgh Steelers, Seattle Seahawks"
3. Oakland Raiders,"Home: Denver Broncos, Kansas City Chiefs, Los Angeles Chargers, Cleveland Browns, Indianapolis Colts, Los Angeles Rams, Pittsburgh Steelers, Seattle Seahawks","Away: Denver Broncos, Kansas City Chiefs, Los Angeles Chargers, Arizona Cardinals, Baltimore Ravens, Cincinnati Bengals, Miami Dolphins, San Francisco 49ers"
